"county","stateabbr","value","state","region"
"autauga","AL",4.32622936725609,"alabama",1001
"avery","NC",5.25592150812893,"north carolina",37011
"avoyelles","LA",5.27881997213235,"louisiana",22009
"baca","CO",5.11325744206907,"colorado",8009
"bacon","GA",4.88331294609105,"georgia",13005
"bailey","TX",4.60093790699998,"texas",48017
"baker","FL",4.44631236627971,"florida",12003
"baker","GA",5.04439863896985,"georgia",13007
"baker","OR",5.70503405974295,"oregon",41001
"baldwin","AL",5.63654901017954,"alabama",1003
"baldwin","GA",4.71103471744416,"georgia",13009
"ballard","KY",4.86450979191596,"kentucky",21007
"baltimore city","MD",6.54112772215023,"maryland",24510
"baltimore","MD",6.24258732455667,"maryland",24005
"bamberg","SC",4.63641476852854,"south carolina",45009
"bandera","TX",5.71404715210004,"texas",48019
"banks","GA",5.08520570659361,"georgia",13011
"banner","NE",5.09080417650312,"nebraska",31007
"bannock","ID",4.61929408254009,"idaho",16005
"baraga","MI",5.21491686330126,"michigan",26013
"barber","KS",5.59226606806596,"kansas",20007
"barbour","AL",4.48347974435685,"alabama",1005
"barbour","WV",4.90201587445945,"west virginia",54001
"barnes","ND",5.35250014669572,"north dakota",38003
"barnstable","MA",7.04731237317298,"massachusetts",25001
"barnwell","SC",4.6212002515847,"south carolina",45011
"barren","KY",6.49643303653666,"kentucky",21009
"barron","WI",6.15448245308147,"wisconsin",55005
"barrow","GA",4.8385521863778,"georgia",13013
"barry","MI",4.19513022125365,"michigan",26015
"barry","MO",6.96831910997201,"missouri",29009
"bartholomew","IN",5.41127216225465,"indiana",18005
"barton","KS",4.53519375712457,"kansas",20009
"barton","MO",5.5165095700643,"missouri",29011
"bartow","GA",4.66017231590903,"georgia",13015
"bastrop","TX",5.34808127575849,"texas",48021
"bates","MO",7.10181267094521,"missouri",29013
"bath","KY",5.61067711530102,"kentucky",21011
"bath","VA",5.08579148708991,"virginia",51017
"baxter","AR",5.5751002464227,"arkansas",5005
"bay","FL",4.66959275880143,"florida",12005
"bay","MI",4.50602282601351,"michigan",26017
"bayfield","WI",5.0908768572083,"wisconsin",55007
"baylor","TX",5.42093778859347,"texas",48023
"beadle","SD",5.27614663787234,"south dakota",46005
"bear lake","ID",4.97506285990068,"idaho",16007
"beaufort","NC",5.84000054942756,"north carolina",37013
"beaufort","SC",4.06304594722026,"south carolina",45013
"beauregard","LA",5.00664351522127,"louisiana",22011
"beaver","OK",4.67683302226241,"oklahoma",40007
"beaver","PA",5.56353155479947,"pennsylvania",42007
"beaver","UT",5.4166491580451,"utah",49001
"beaverhead","MT",5.11375365637414,"montana",30001
"becker","MN",5.1832196064496,"minnesota",27005
"beckham","OK",4.87882953981716,"oklahoma",40009
"bedford city","VA",5.42753623813628,"virginia",51515
"bedford","PA",4.24828697278792,"pennsylvania",42009
"bedford","TN",5.07208693777219,"tennessee",47003
"bedford","VA",4.52040603233524,"virginia",51019
"bee","TX",5.28105792774723,"texas",48025
"belknap","NH",5.30284176935549,"new hampshire",33001
"bell","KY",5.80801426819266,"kentucky",21013
"bell","TX",3.89604370425824,"texas",48027
"belmont","OH",5.96973682287365,"ohio",39013
"beltrami","MN",6.52970825282569,"minnesota",27007
"ben hill","GA",5.24498837296541,"georgia",13017
"benewah","ID",5.77167206438307,"idaho",16009
"bennett","SD",5.34371493265896,"south dakota",46007
"bennington","VT",5.4764342623258,"vermont",50003
"benson","ND",5.68015625656775,"north dakota",38005
"bent","CO",5.0176773102363,"colorado",8011
"benton","AR",5.01027721605083,"arkansas",5007
"benton","IA",5.00627079041483,"iowa",19011
"benton","IN",5.33492512751052,"indiana",18007
"benton","MN",5.21852669185218,"minnesota",27009
"benton","MO",4.86009219900055,"missouri",29015
"benton","MS",4.81882679398663,"mississippi",28009
"benton","OR",4.39732112436825,"oregon",41003
"benton","TN",5.0216187839927,"tennessee",47005
"benton","WA",3.75917225330589,"washington",53005
"benzie","MI",5.51393404643755,"michigan",26019
"bergen","NJ",6.19327248908139,"new jersey",34003
"berkeley","SC",4.37551416481852,"south carolina",45015
"berkeley","WV",4.8858207844562,"west virginia",54003
"berks","PA",5.34417798582263,"pennsylvania",42011
"berkshire","MA",5.68320254165676,"massachusetts",25003
"bernalillo","NM",4.19821360474123,"new mexico",35001
"berrien","GA",5.42630668239364,"georgia",13019
"berrien","MI",5.29754515022622,"michigan",26021
"bertie","NC",4.87494857024549,"north carolina",37015
"bexar","TX",3.96435726498193,"texas",48029
"bibb","AL",4.5983637164908,"alabama",1007
"bibb","GA",4.04366021877168,"georgia",13021
"bienville","LA",5.95734256683744,"louisiana",22013
"big horn","MT",5.37033775181359,"montana",30003
"big horn","WY",5.14806624496342,"wyoming",56003
"big stone","MN",5.83212431054245,"minnesota",27011
"billings","ND",5.08223943217352,"north dakota",38007
"bingham","ID",3.87281671744356,"idaho",16011
"black hawk","IA",5.27233944843799,"iowa",19013
"blackford","IN",4.70290274807763,"indiana",18009
"bladen","NC",5.32972714902028,"north carolina",37017
"blaine","ID",4.86372753716857,"idaho",16013
"blaine","MT",5.43567200879178,"montana",30005
"blaine","NE",5.12380742718816,"nebraska",31009
"blaine","OK",4.63458872472412,"oklahoma",40011
"blair","PA",5.59725643126187,"pennsylvania",42013
"blanco","TX",5.40751055403757,"texas",48031
"bland","VA",5.57965467075762,"virginia",51021
"bleckley","GA",4.83731755546446,"georgia",13023
"bledsoe","TN",4.76067834411907,"tennessee",47007
"blount","AL",4.89463976201353,"alabama",1009
"blount","TN",5.54726581914883,"tennessee",47009
"blue earth","MN",4.42412594492455,"minnesota",27013
"boise","ID",4.90958446890828,"idaho",16015
"bolivar","MS",5.14427074158858,"mississippi",28011
"bollinger","MO",4.71953649173616,"missouri",29017
"bon homme","SD",4.59788288699412,"south dakota",46009
"bond","IL",5.76583592651155,"illinois",17005
"bonner","ID",4.33319098617599,"idaho",16017
"bonneville","ID",3.67951920490312,"idaho",16019
"boone","AR",5.9361907968214,"arkansas",5009
"boone","IA",5.33974440755153,"iowa",19015
"boone","IL",5.30452214861177,"illinois",17007
"boone","IN",5.11778880999666,"indiana",18011
"boone","KY",5.06776403873021,"kentucky",21015
"boone","MO",4.1144746908077,"missouri",29019
"boone","NE",4.90461655059946,"nebraska",31011
"boone","WV",5.34280752608178,"west virginia",54005
"borden","TX",5.10786551220922,"texas",48033
"bosque","TX",6.42875625039548,"texas",48035
"bossier","LA",3.98492012157258,"louisiana",22015
"botetourt","VA",4.73091827306501,"virginia",51023
"bottineau","ND",4.80556597491565,"north dakota",38009
"boulder","CO",3.97928129352667,"colorado",8013
"boundary","ID",5.47378514297972,"idaho",16021
"bourbon","KS",5.25533865569018,"kansas",20011
"bourbon","KY",6.13532241859044,"kentucky",21017
"bowie","TX",5.28619360305041,"texas",48037
"bowman","ND",6.09016716164656,"north dakota",38011
"box butte","NE",5.05857510920446,"nebraska",31013
"box elder","UT",3.92621943140448,"utah",49003
"boyd","KY",6.08382065161609,"kentucky",21019
"boyd","NE",4.9292981359989,"nebraska",31015
"boyle","KY",5.0013629821198,"kentucky",21021
"bracken","KY",5.81634816731296,"kentucky",21023
"bradford","FL",6.2845291908676,"florida",12007
"bradford","PA",3.93839219691944,"pennsylvania",42015
"bradley","AR",4.54511427218464,"arkansas",5011
"bradley","TN",4.25021241099554,"tennessee",47011
"branch","MI",5.58512264396745,"michigan",26023
"brantley","GA",4.80553460270894,"georgia",13025
"braxton","WV",5.5829215913712,"west virginia",54007
"brazoria","TX",3.31728226923804,"texas",48039
"brazos","TX",3.70191640086117,"texas",48041
"breathitt","KY",4.88022868006798,"kentucky",21025
"breckinridge","KY",5.40617613930414,"kentucky",21027
"bremer","IA",6.39862350711017,"iowa",19017
"brevard","FL",6.2680387257032,"florida",12009
"brewster","TX",5.15137547528073,"texas",48043
"briscoe","TX",4.99699237641288,"texas",48045
"bristol city","VA",5.1394680949651,"virginia",51520
"bristol","MA",4.89323479594769,"massachusetts",25005
"bristol","RI",5.39041722157915,"rhode island",44001
"broadwater","MT",5.21474197596905,"montana",30007
"bronx","NY",4.98696472860524,"new york",36005
"brooke","WV",5.57801395077965,"west virginia",54009
"brookings","SD",4.36238035621215,"south dakota",46011
"brooks","GA",4.57364212444897,"georgia",13027
"brooks","TX",5.13287392171578,"texas",48047
"broome","NY",5.99545644273705,"new york",36007
"broward","FL",8.5729059486976,"florida",12011
"brown","IL",5.04010483962809,"illinois",17009
"brown","IN",5.34232368077445,"indiana",18013
"brown","KS",5.86802847336944,"kansas",20013
"brown","MN",5.40633319097651,"minnesota",27015
"brown","NE",5.78922108634586,"nebraska",31017
"brown","OH",5.35100270566229,"ohio",39015
"brown","SD",5.64919301591396,"south dakota",46013
"brown","TX",5.8083027627619,"texas",48049
"brown","WI",4.51222780629051,"wisconsin",55009
"brule","SD",4.77994405728878,"south dakota",46015
"brunswick","NC",5.84716213803177,"north carolina",37019
"brunswick","VA",6.46772968156996,"virginia",51025
"bryan","GA",5.04969688938085,"georgia",13029
"bryan","OK",5.44129423535462,"oklahoma",40013
"buchanan","IA",5.04146884012111,"iowa",19019
"buchanan","MO",5.44958196340201,"missouri",29021
"buchanan","VA",5.78411105063765,"virginia",51027
"buckingham","VA",5.49916979836039,"virginia",51029
"bucks","PA",4.24280385513988,"pennsylvania",42017
"buena vista ci","VA",4.73053441502297,"virginia",51530
"buena vista","IA",5.90888076570135,"iowa",19021
"buffalo","NE",4.74454207421046,"nebraska",31019
"buffalo","SD",5.11866432082832,"south dakota",46017
"buffalo","WI",5.00946597250177,"wisconsin",55011
"bullitt","KY",3.54443722437443,"kentucky",21029
"bulloch","GA",4.9075665641564,"georgia",13031
"bullock","AL",4.90416876528479,"alabama",1011
"buncombe","NC",4.85091837463785,"north carolina",37021
"bureau","IL",7.20435713661337,"illinois",17011
"burke","GA",5.04449215008254,"georgia",13033
"burke","NC",4.98943218663501,"north carolina",37023
"burke","ND",4.87370824411194,"north dakota",38013
"burleigh","ND",4.61481500337948,"north dakota",38015
"burleson","TX",5.52026367828177,"texas",48051
"burlington","NJ",4.54237024664022,"new jersey",34005
"burnet","TX",5.62269018032284,"texas",48053
"burnett","WI",5.15582387940483,"wisconsin",55013
"burt","NE",5.17594843002862,"nebraska",31021
"butler","AL",4.54055983931968,"alabama",1013
"butler","IA",6.44176016212877,"iowa",19023
"butler","KS",5.38488223042875,"kansas",20015
"butler","KY",5.79316625450835,"kentucky",21031
"butler","MO",6.25482944538402,"missouri",29023
"butler","NE",5.65253603652931,"nebraska",31023
"butler","OH",4.56745839702897,"ohio",39017
"butler","PA",4.45978829483464,"pennsylvania",42019
"butte","CA",6.11814364980398,"california",6007
"butte","ID",5.22751617043278,"idaho",16023
"butte","SD",5.46244911561343,"south dakota",46019
"butts","GA",5.92087677778083,"georgia",13035
"cabarrus","NC",4.7786160724836,"north carolina",37025
"cabell","WV",4.26938408529322,"west virginia",54011
"cache","UT",2.85500261271981,"utah",49005
"caddo","LA",5.69902666682479,"louisiana",22017
"caddo","OK",5.85418579438735,"oklahoma",40015
"calaveras","CA",5.36332821927451,"california",6009
"calcasieu","LA",4.57977411595351,"louisiana",22019
"caldwell","KY",4.31997256796555,"kentucky",21033
"caldwell","LA",6.02193195421368,"louisiana",22021
"caldwell","MO",5.17004134488668,"missouri",29025
"caldwell","NC",5.42598407945964,"north carolina",37027
"caldwell","TX",5.98180354106713,"texas",48055
"caledonia","VT",4.5527145789411,"vermont",50005
"calhoun","AL",4.72065293267203,"alabama",1015
"calhoun","AR",5.45550611293196,"arkansas",5013
"calhoun","FL",4.85942724836455,"florida",12013
"calhoun","GA",5.30949987553256,"georgia",13037
"calhoun","IA",5.99804027429692,"iowa",19025
"calhoun","IL",5.35435871443515,"illinois",17013
"calhoun","MI",5.21807618706298,"michigan",26025
"calhoun","MS",5.23255431190939,"mississippi",28013
"calhoun","SC",5.36402875592696,"south carolina",45017
"calhoun","TX",4.93533626747781,"texas",48057
"calhoun","WV",4.5554063096541,"west virginia",54013
"callahan","TX",5.7302332810336,"texas",48059
"callaway","MO",5.4704905967412,"missouri",29027
"calloway","KY",5.34241477190901,"kentucky",21035
"calumet","WI",5.55989948922936,"wisconsin",55015
"calvert","MD",3.78702133239163,"maryland",24009
"camas","ID",5.10676723773147,"idaho",16025
"cambria","PA",6.96399256741473,"pennsylvania",42021
"camden","GA",4.14171223283982,"georgia",13039
"camden","MO",5.92142891433891,"missouri",29029
"camden","NC",5.17096313739619,"north carolina",37029
"camden","NJ",5.12525439696231,"new jersey",34007
"cameron","LA",5.04713729621364,"louisiana",22023
"cameron","PA",5.30448710640546,"pennsylvania",42023
"cameron","TX",3.35448249321296,"texas",48061
"camp","TX",4.63935563857853,"texas",48063
"campbell","KY",4.72552369811425,"kentucky",21037
"campbell","SD",5.32267578362768,"south dakota",46021
"campbell","TN",5.88934148938312,"tennessee",47013
"campbell","VA",3.5658153475136,"virginia",51031
"campbell","WY",3.8087281769241,"wyoming",56005
"canadian","OK",3.82376378737268,"oklahoma",40017
"candler","GA",5.1026218335343,"georgia",13043
"cannon","TN",5.60025870745683,"tennessee",47015
"canyon","ID",5.79483565089964,"idaho",16027
"cape girardeau","MO",5.1746803140538,"missouri",29031
"cape may","NJ",6.68840057394139,"new jersey",34009
"carbon","MT",5.46632300887397,"montana",30009
"carbon","PA",4.21104056619705,"pennsylvania",42025
"carbon","UT",5.04123625023843,"utah",49007
"carbon","WY",4.09852329428156,"wyoming",56007
"caribou","ID",5.43512029837459,"idaho",16029
"carlisle","KY",5.07193628506866,"kentucky",21039
"carlton","MN",4.66524604264525,"minnesota",27017
"caroline","MD",4.87575115736763,"maryland",24011
"caroline","VA",4.95870207494047,"virginia",51033
"carroll","AR",5.10875344982304,"arkansas",5015
"carroll","GA",4.40699236011905,"georgia",13045
"carroll","IA",5.76432556594786,"iowa",19027
"carroll","IL",7.14450462700769,"illinois",17015
"carroll","IN",6.26230903310899,"indiana",18015
"carroll","KY",5.6641681294425,"kentucky",21041
"carroll","MD",4.2721044401788,"maryland",24013
"carroll","MO",5.53594403234457,"missouri",29033
"carroll","MS",5.98139647447749,"mississippi",28015
"carroll","NH",5.50066819315494,"new hampshire",33003
"carroll","OH",4.79011843988601,"ohio",39019
"carroll","TN",5.86882283034432,"tennessee",47017
"carroll","VA",4.52263590198328,"virginia",51035
"carson city","NV",4.7968528299572,"nevada",32510
"carson","TX",4.63875211809748,"texas",48065
"carter","KY",4.87054241647597,"kentucky",21043
"carter","MO",5.66185719393062,"missouri",29035
"carter","MT",5.02221112695579,"montana",30011
"carter","OK",5.68124439859953,"oklahoma",40019
"carter","TN",4.86103111510831,"tennessee",47019
"carteret","NC",4.39806569604508,"north carolina",37031
"carver","MN",3.86987839090824,"minnesota",27019
"cascade","MT",6.03184874151393,"montana",30013
"casey","KY",4.9720468639282,"kentucky",21045
"cass","IA",4.90544508050792,"iowa",19029
"cass","IL",4.49112105428919,"illinois",17017
"cass","IN",5.83295092660548,"indiana",18017
"cass","MI",4.32979336140015,"michigan",26027
"cass","MN",5.94486977553918,"minnesota",27021
"cass","MO",4.12306678406963,"missouri",29037
"cass","ND",5.15552795948152,"north dakota",38017
"cass","NE",4.59483127100716,"nebraska",31025
"cass","TX",5.92927344227164,"texas",48067
"cassia","ID",4.64647858999945,"idaho",16031
"castro","TX",4.45332905936301,"texas",48069
"caswell","NC",5.1562580149952,"north carolina",37033
"catahoula","LA",4.80686355866208,"louisiana",22025
"catawba","NC",5.27622004037004,"north carolina",37035
"catoosa","GA",5.03344301055277,"georgia",13047
"catron","NM",4.95183291749503,"new mexico",35003
"cattaraugus","NY",4.51687682457201,"new york",36009
"cavalier","ND",4.95127791545205,"north dakota",38019
"cayuga","NY",5.99190740628736,"new york",36011
"cecil","MD",5.56775301892292,"maryland",24015
"cedar","IA",6.06800797356099,"iowa",19031
"cedar","MO",4.63539194427511,"missouri",29039
"cedar","NE",6.66834875436292,"nebraska",31027
"centre","PA",3.71441428528139,"pennsylvania",42027
"cerro gordo","IA",6.59036356340233,"iowa",19033
"chaffee","CO",4.53909619646064,"colorado",8015
"chambers","AL",5.39625075415161,"alabama",1017
"chambers","TX",5.06975700682253,"texas",48071
"champaign","IL",4.37030456662732,"illinois",17019
"champaign","OH",4.66980239272575,"ohio",39021
"chariton","MO",5.07659786899775,"missouri",29041
"charles city","VA",5.02865042171709,"virginia",51036
"charles mix","SD",4.90661879599894,"south dakota",46023
"charles","MD",4.32795751954533,"maryland",24017
"charleston","SC",4.21725252846426,"south carolina",45019
"charlevoix","MI",5.9370760000499,"michigan",26029
"charlotte","FL",8.81422591465066,"florida",12015
"charlotte","VA",4.60163867877782,"virginia",51037
"charlottesvill","VA",4.75655148513933,"virginia",51540
"charlton","GA",5.06061320234204,"georgia",13049
"chase","KS",5.24094059351531,"kansas",20017
"chase","NE",4.80144929015218,"nebraska",31029
"chatham","GA",5.88165926972835,"georgia",13051
"chatham","NC",4.75560179742608,"north carolina",37037
"chattahoochee","GA",4.00384329101048,"georgia",13053
"chattooga","GA",4.15920300724547,"georgia",13055
"chautauqua","KS",5.13611498945063,"kansas",20019
"chautauqua","NY",5.78629802970893,"new york",36013
"chaves","NM",5.26977478761197,"new mexico",35005
"cheatham","TN",4.71219036195887,"tennessee",47021
"cheboygan","MI",5.89908667781438,"michigan",26031
"chelan","WA",5.70785543516238,"washington",53007
"chemung","NY",5.61258912913415,"new york",36015
"chenango","NY",5.81886526498051,"new york",36017
"cherokee","AL",3.99650374387613,"alabama",1019
"cherokee","GA",4.87132373708719,"georgia",13057
"cherokee","IA",5.76264966791672,"iowa",19035
"cherokee","KS",5.12701991388467,"kansas",20021
"cherokee","NC",5.013144567324,"north carolina",37039
"cherokee","OK",5.51703318222871,"oklahoma",40021
"cherokee","SC",4.21510889164794,"south carolina",45021
"cherokee","TX",5.55155966229972,"texas",48073
"cherry","NE",4.9430121531671,"nebraska",31031
"chesapeake cit","VA",4.70340015562658,"virginia",51550
"cheshire","NH",5.63636224400684,"new hampshire",33005
"chester","PA",4.64076562688532,"pennsylvania",42029
"chester","SC",5.7791069319529,"south carolina",45023
"chester","TN",4.94699474364458,"tennessee",47023
"chesterfield","SC",5.30589289461042,"south carolina",45025
"chesterfield","VA",3.68907231214457,"virginia",51041
"cheyenne","CO",4.97177049008301,"colorado",8017
"cheyenne","KS",5.2126138700549,"kansas",20023
"cheyenne","NE",5.61175850534393,"nebraska",31033
"chickasaw","IA",5.80714668357645,"iowa",19037
"chickasaw","MS",4.38271941534377,"mississippi",28017
"chicot","AR",4.90678551079084,"arkansas",5017
"childress","TX",5.3405712660778,"texas",48075
"chilton","AL",4.7179583909729,"alabama",1021
"chippewa","MI",5.87228656287637,"michigan",26033
"chippewa","MN",5.29739492651875,"minnesota",27023
"chippewa","WI",5.10531893364608,"wisconsin",55017
"chisago","MN",5.82863022725276,"minnesota",27025
"chittenden","VT",4.35640444661633,"vermont",50007
"choctaw","AL",5.68248792179033,"alabama",1023
"choctaw","MS",4.98698055163514,"mississippi",28019
"choctaw","OK",5.73743752464857,"oklahoma",40023
"chouteau","MT",5.32500542407077,"montana",30015
"chowan","NC",5.49889229683334,"north carolina",37041
"christian","IL",5.87628305341862,"illinois",17021
"christian","KY",4.46120513726561,"kentucky",21047
"christian","MO",5.53054401656621,"missouri",29043
"churchill","NV",6.07518390758749,"nevada",32001
"cimarron","OK",5.21059171044427,"oklahoma",40025
"citrus","FL",8.25411298019141,"florida",12017
"clackamas","OR",4.66206473295351,"oregon",41005
"claiborne","LA",5.07588083526031,"louisiana",22027
"claiborne","MS",5.59654014834988,"mississippi",28021
"claiborne","TN",5.32356150455412,"tennessee",47025
"clallam","WA",5.41049571185944,"washington",53009
"clare","MI",5.17564593544628,"michigan",26035
"clarendon","SC",5.16289183275929,"south carolina",45027
"clarion","PA",6.64250235233017,"pennsylvania",42031
"clark","AR",4.80288017497285,"arkansas",5019
"clark","ID",5.44542699624613,"idaho",16033
"clark","IL",5.41168329692615,"illinois",17023
"clark","IN",5.06100564283051,"indiana",18019
"clark","KS",5.62925543971454,"kansas",20025
"clark","KY",4.74899183626037,"kentucky",21049
"clark","MO",5.75187685330437,"missouri",29045
"clark","NV",4.29939614125148,"nevada",32003
"clark","OH",5.55417543055793,"ohio",39023
"clark","SD",4.79130827057549,"south dakota",46025
"clark","WA",4.79181470320121,"washington",53011
"clark","WI",5.30643339607737,"wisconsin",55019
"clarke","AL",5.18452615978277,"alabama",1025
"clarke","GA",4.3480490823616,"georgia",13059
"clarke","IA",4.57134903084127,"iowa",19039
"clarke","MS",4.68506606044701,"mississippi",28023
"clarke","VA",4.75154836979778,"virginia",51043
"clatsop","OR",6.71647980725388,"oregon",41007
"clay","AL",6.08637942391111,"alabama",1027
"clay","AR",6.47946318438019,"arkansas",5021
"clay","FL",3.69687522816226,"florida",12019
"clay","GA",5.07285354074732,"georgia",13061
"clay","IA",4.52095854400981,"iowa",19041
"clay","IL",7.65791296360404,"illinois",17025
"clay","IN",5.63911279229985,"indiana",18021
"clay","KS",4.49483642677936,"kansas",20027
"clay","KY",4.49939403500315,"kentucky",21051
"clay","MN",6.66424227005358,"minnesota",27027
"clay","MO",5.11253340096795,"missouri",29047
"clay","MS",5.01954809683795,"mississippi",28025
"clay","NC",5.24358162439834,"north carolina",37043
"clay","NE",4.89937662795483,"nebraska",31035
"clay","SD",5.11979581221659,"south dakota",46027
"clay","TN",4.92364792090605,"tennessee",47027
"clay","TX",5.03047292579586,"texas",48077
"clay","WV",4.66230470228733,"west virginia",54015
"clayton","GA",3.78234638235746,"georgia",13063
"clayton","IA",5.1223179884513,"iowa",19043
"clear creek","CO",4.84845904862626,"colorado",8019
"clearfield","PA",6.41371550060093,"pennsylvania",42033
"clearwater","ID",4.72411500552521,"idaho",16035
"clearwater","MN",5.73854865243253,"minnesota",27029
"cleburne","AL",5.13714069891585,"alabama",1029
"cleburne","AR",5.81071705216067,"arkansas",5023
"clermont","OH",3.66971462974464,"ohio",39025
"cleveland","AR",4.97999450932122,"arkansas",5025
"cleveland","NC",6.07578012090787,"north carolina",37045
"cleveland","OK",3.16297402725252,"oklahoma",40027
"clifton forge","VA",5.50591762167811,"virginia",51560
"clinch","GA",4.78736751765038,"georgia",13065
"clinton","IA",5.48929696840011,"iowa",19045
"clinton","IL",4.86703935665447,"illinois",17027
"clinton","IN",4.34976163047499,"indiana",18023
"clinton","KY",5.66508267143483,"kentucky",21053
"clinton","MI",4.2543161299912,"michigan",26037
"clinton","MO",4.93797231945319,"missouri",29049
"clinton","NY",4.69730423868118,"new york",36019
